idx|::|node_id|::|title|::|authors|::|date|::|arxiv_uri
229|::|11184|::|Comments on CKM elements|::|Jonathan L. Rosner|::|2000-11-14T23:13:17+00:00|::|http://arxiv.org/abs/hep-ph/0011184v1
230|::|11269|::|CKM matrix: the `over-consistent' picture of the unitarity triangle|::|Pietro Faccioli|::|2000-11-21T19:48:55+00:00|::|http://arxiv.org/abs/hep-ph/0011269v3
231|::|11392|::|CKM Phases from CP Asymmetries|::|Michael Gronau|::|2000-11-30T16:05:29+00:00|::|http://arxiv.org/abs/hep-ph/0011392v2
232|::|12161|::|Heavy Flavour Physics: On Its More Than 50 Years Of History, Its Future And The Rio Manifesto|::|I. I. Bigi|::|2000-12-13T21:27:33+00:00|::|http://arxiv.org/abs/hep-ph/0012161v2
233|::|101259|::|CP violation, the CKM matrix and New Physics|::|Daniel Wyler|::|2001-01-23T13:36:55+00:00|::|http://arxiv.org/abs/hep-ph/0101259v2
234|::|102274|::|Constructing "Reference" Triangle through Unitarity of CKM Matrix|::|Monika Randhawa;Manmohan Gupta|::|2001-02-22T11:04:39+00:00|::|http://arxiv.org/abs/hep-ph/0102274v1
235|::|102345|::|The Determination of the CKM Matrix|::|Frederick J. Gilman|::|2001-02-28T21:11:39+00:00|::|http://arxiv.org/abs/hep-ph/0102345v1
236|::|103197|::|CP Asymmetry Measurements in psi K0 and the CKM Paradigm|::|David Atwood;Amarjit Soni|::|2001-03-19T20:14:40+00:00|::|http://arxiv.org/abs/hep-ph/0103197v3
237|::|9408332|::|Implications of the Top Quark Mass Measurement for the CKM Parameters, $x_s$ and CP Asymmetries|::|A. Ali;D. London|::|1994-08-21T14:44:19+00:00|::|http://arxiv.org/abs/hep-ph/9408332v1
238|::|9409399|::|An Update of the CKM Matrix|::|Ahmed Ali;David London|::|1994-09-23T19:47:58+00:00|::|http://arxiv.org/abs/hep-ph/9409399v1
239|::|9411367|::|Pure Leptonic Radiative Decays $B^\pm, D_s\to\ellνγ$ and the Annihilation Graph|::|D. Atwood;G. Eilam;A. Soni|::|1994-11-23T08:06:08+00:00|::|http://arxiv.org/abs/hep-ph/9411367v1
240|::|9603256|::|Determination of the Kobayashi-Maskawa-Cabibbo matrix element V_{us} under various flavor-symmetry-breaking models in hyperon semileptonic decays|::|R. Flores-Mendieta;A. Garcia;G. Sanchez-Colon|::|1996-03-09T04:50:01+00:00|::|http://arxiv.org/abs/hep-ph/9603256v2
241|::|9610449|::|Unified Theories with U(2) Flavor Symmetry|::|R. Barbieri;L. J. Hall;S. Raby;A. Romanino|::|1996-10-23T01:25:48+00:00|::|http://arxiv.org/abs/hep-ph/9610449v1
242|::|9612262|::|B Decays in the Standard Model - Status and Perspectives|::|A. Ali|::|1996-12-05T15:28:24+00:00|::|http://arxiv.org/abs/hep-ph/9612262v1
243|::|9612313|::|Weak Radiative B-Meson Decay Beyond Leading Logarithms|::|Konstantin Chetyrkin;Mikolaj Misiak;Manfred Munz|::|1996-12-10T18:47:27+00:00|::|http://arxiv.org/abs/hep-ph/9612313v3
244|::|9703290|::|Aspects Of Heavy Quark Theory|::|I. Bigi;M. Shifman;N. Uraltsev|::|1997-03-11T00:50:16+00:00|::|http://arxiv.org/abs/hep-ph/9703290v3
245|::|9704376|::|Quark mixing, CP violation and rare decays after the top quark discovery|::|Andrzej J. Buras;Robert Fleischer|::|1997-04-22T13:52:04+00:00|::|http://arxiv.org/abs/hep-ph/9704376v1
246|::|9709288|::|Implications of the Fleischer-Mannel Bound|::|Yuval Grossman;Yosef Nir;Stephane Plaszczynski;Marie-Helene Schune|::|1997-09-08T21:09:31+00:00|::|http://arxiv.org/abs/hep-ph/9709288v1
247|::|9711217|::|CKM Matrix: Present and Future|::|Andrzej J. Buras|::|1997-11-04T00:13:19+00:00|::|http://arxiv.org/abs/hep-ph/9711217v1
248|::|9802289|::|Constraints on the parameters of the $V_{CKM}$ matrix at the end of 1997|::|F. Parodi;P. Roudeau;A. Stocchi|::|1998-02-10T15:56:07+00:00|::|http://arxiv.org/abs/hep-ph/9802289v1
249|::|9803368|::|Direct CP Violation in B -> X_s gamma Decays as a Signature of New Physics|::|A. L. Kagan;M. Neubert|::|1998-03-17T20:28:46+00:00|::|http://arxiv.org/abs/hep-ph/9803368v2
250|::|9805303|::|QCD Anatomy of B -> X_s gamma Decays|::|A. L. Kagan;M. Neubert|::|1998-05-12T21:45:31+00:00|::|http://arxiv.org/abs/hep-ph/9805303v2
251|::|9806230|::|Quark Mixing and CP Violation|::|A. Ali;B. Kayser|::|1998-06-02T14:02:44+00:00|::|http://arxiv.org/abs/hep-ph/9806230v1
252|::|9806308|::|Next-to-Leading QCD Corrections to B\to X_s γin Supersymmetry|::|M. Ciuchini;G. Degrassi;P. Gambino;G. F. Giudice|::|1998-06-08T17:30:12+00:00|::|http://arxiv.org/abs/hep-ph/9806308v2
253|::|9806501|::|The CP Conserving Contribution to $K_L\toπ^0ν\barν$|::|Gerhard Buchalla;Gino Isidori|::|1998-06-26T15:33:12+00:00|::|http://arxiv.org/abs/hep-ph/9806501v1
254|::|9807238|::|Next-to-Leading Order QCD corrections to $B\bar B$-mixing and $ε_K$ within the MSSM|::|F. Krauss;G. Soff|::|1998-07-03T14:17:16+00:00|::|http://arxiv.org/abs/hep-ph/9807238v4
255|::|9901288|::|The Rare Decays $K\toπν\barν$, $B\to Xν\barν$ and $B\to l^+l^-$ -- An Update|::|Gerhard Buchalla;Andrzej J. Buras|::|1999-01-13T10:25:39+00:00|::|http://arxiv.org/abs/hep-ph/9901288v1
256|::|9904379|::|A Real CKM Matrix and Physics Beyond the Standard Model|::|G. C. Branco;F. Cagarrinho;F. Krüger|::|1999-04-18T15:35:30+00:00|::|http://arxiv.org/abs/hep-ph/9904379v1
257|::|9904480|::|Constraining the CKM Parameters using CP Violation in semi-leptonic B Decays|::|Robert N. Cahn;Mihir P. Worah|::|1999-04-28T18:31:25+00:00|::|http://arxiv.org/abs/hep-ph/9904480v1
258|::|9907243|::|Precision Flavour Physics and Supersymmetry|::|Ahmed Ali;David London|::|1999-07-05T19:34:21+00:00|::|http://arxiv.org/abs/hep-ph/9907243v1
259|::|9907270|::|Memo on Extracting |V(cb)| and |V(ub)/V(cb)| from semileptonic B decays|::|I. I. Bigi|::|1999-07-07T15:46:17+00:00|::|http://arxiv.org/abs/hep-ph/9907270v1
260|::|9907300|::|The hypothesis of a real Cabibbo Kobayashi Maskawa matrix|::|P. Checchia;E. Piotto;F. Simonetto|::|1999-07-12T10:14:51+00:00|::|http://arxiv.org/abs/hep-ph/9907300v1
261|::|9910417|::|Future of Heavy Flavour Physics: Experimental Perspective|::|Sheldon Stone|::|1999-10-20T16:21:33+00:00|::|http://arxiv.org/abs/hep-ph/9910417v4
262|::|10071|::|Cosmic Strings and Cooper Pairs|::|Stephen C. Davis|::|2000-10-08T14:42:48+00:00|::|http://arxiv.org/abs/hep-ph/0010071v1
263|::|10222|::|Review on B^0- \bar{\rm \bf{B^0}} mixing and b-lifetimes measurements at CDF/LEP/SLD|::|Achille Stocchi|::|2000-10-19T15:10:08+00:00|::|http://arxiv.org/abs/hep-ph/0010222v1
264|::|11086|::|Standard Model Matrix Elements for Neutral B-Meson Mixing and Associated Decay Constants|::|UKQCD Collaboration;Laurent Lellouch;C. -J. David Lin|::|2000-11-07T23:45:39+00:00|::|http://arxiv.org/abs/hep-ph/0011086v2
265|::|12215|::|Determination of Unitarity Triangle parameters: where do we stand ?|::|Achille Stocchi|::|2000-12-18T08:16:36+00:00|::|http://arxiv.org/abs/hep-ph/0012215v2
266|::|9405283|::|Implications of the Top Quark Mass Measurements for the CKM Parameters, $\xs$ and CP Asymmetries|::|A. Ali;D. London|::|1994-05-13T17:56:34+00:00|::|http://arxiv.org/abs/hep-ph/9405283v2
267|::|9608365|::|A 1996 Analysis of the CP Violating Ratio epsilon'/epsilon|::|A. J. Buras;M. Jamin;M. E. Lautenbacher|::|1996-08-19T14:42:58+00:00|::|http://arxiv.org/abs/hep-ph/9608365v1
268|::|9610455|::|Theoretical Review of B-physics|::|G. Martinelli|::|1996-10-23T12:05:38+00:00|::|http://arxiv.org/abs/hep-ph/9610455v1
269|::|9711426|::|B and D Meson Decay Constants in Lattice QCD|::|Aida X. El-Khadra;Andreas S. Kronfeld;Paul B. Mackenzie;Sinead M. Ryan;James N. Simone|::|1997-11-22T04:18:29+00:00|::|http://arxiv.org/abs/hep-ph/9711426v1
270|::|9801412|::|Quark Masses, B-parameters, and CP violation parameters $ε$ and $ε'/ε$|::|Rajan Gupta|::|1998-01-26T23:30:50+00:00|::|http://arxiv.org/abs/hep-ph/9801412v1
271|::|9806412|::|Lattice Determination of Heavy-Light Decay Constants|::|MILC Collaboration;C. Bernard;T. DeGrand;C. DeTar;Steven Gottlieb;Urs M. Heller;J. E. Hetrick;N. Ishizuka;C. McNeile;R. Sugar;D. Toussaint;M. Wingate|::|1998-06-18T20:03:15+00:00|::|http://arxiv.org/abs/hep-ph/9806412v2
272|::|9902256|::|Indications for Factorization and $Re V_{ub} < 0$ from Rare B Decay Data|::|Xiao-Gang He;Wei-Shu Hou;Kwei-Chou Yang|::|1999-02-05T21:54:29+00:00|::|http://arxiv.org/abs/hep-ph/9902256v2
273|::|9908202|::|Tree-Penguin Interference and Tests for $\cosγ< 0$ in Rare $B\to PP$, $PV$ and $VV$ Decays|::|Wei-Shu Hou;Kwei-Chou Yang|::|1999-08-02T16:59:59+00:00|::|http://arxiv.org/abs/hep-ph/9908202v1
274|::|9908520|::|B Decays, the Unitarity Triangle, and the Universe|::|Adam F. Falk|::|1999-08-31T15:58:57+00:00|::|http://arxiv.org/abs/hep-ph/9908520v4
275|::|9909478|::|New Information on B Decays to Charmless VP Final States|::|Michael Gronau;Jonathan L. Rosner|::|1999-09-22T19:20:12+00:00|::|http://arxiv.org/abs/hep-ph/9909478v3
276|::|9911263|::|Charmless hadronic B decays and the recent CLEO data|::|B. Dutta;Sechul Oh|::|1999-11-05T23:46:22+00:00|::|http://arxiv.org/abs/hep-ph/9911263v2
277|::|9912288|::|Lattice Calculations and Hadron Physics|::|Sinya Aoki|::|1999-12-10T02:35:42+00:00|::|http://arxiv.org/abs/hep-ph/9912288v2
278|::|9512356|::|A New Estimate of $\varepsilon '/\varepsilon$|::|S. Bertolini;J. O. Eeg;M. Fabbrichesi|::|1995-12-19T22:34:13+00:00|::|http://arxiv.org/abs/hep-ph/9512356v2
279|::|9604240|::|Two-body non-leptonic decays on the lattice|::|M. Ciuchini;E. Franco;G. Martinelli;L. Silvestrini|::|1996-04-04T08:16:08+00:00|::|http://arxiv.org/abs/hep-ph/9604240v1
280|::|9604330|::|The Complete |Delta S|=2 Hamiltonian in the Next-To-Leading Order|::|Stefan Herrlich;Ulrich Nierste|::|1996-04-16T15:26:37+00:00|::|http://arxiv.org/abs/hep-ph/9604330v1
281|::|9607392|::|CP Violation and Flavour Mixing in the Standard Model -- 1996 Update|::|A. Ali;D. London|::|1996-07-22T15:35:26+00:00|::|http://arxiv.org/abs/hep-ph/9607392v2
282|::|9701278|::|$ε'/ε$: three years later|::|Marco Ciuchini|::|1997-01-13T11:13:43+00:00|::|http://arxiv.org/abs/hep-ph/9701278v1
283|::|9706260|::|$ε'/ε$ at $O(p^4)$ in the Chiral Expansion|::|S. Bertolini;J. O. Eeg;M. Fabbrichesi;E. I. Lashin|::|1997-06-05T11:57:18+00:00|::|http://arxiv.org/abs/hep-ph/9706260v4
284|::|9708222|::|Charming-penguin enhanced B decays|::|M. Ciuchini;R. Contino;E. Franco;G. Martinelli;L. Silvestrini|::|1997-08-03T12:03:19+00:00|::|http://arxiv.org/abs/hep-ph/9708222v2
285|::|9710245|::|Next--to--Leading Order QCD corrections for the $B^0 \bar{B^0}$--mixing with an extended Higgs sector|::|J. Urban;F. Krauss;U. Jentschura;G. Soff|::|1997-10-05T18:37:05+00:00|::|http://arxiv.org/abs/hep-ph/9710245v2
286|::|9802300|::|1/N_c Corrections to the Hadronic Matrix Elements of Q_6 and Q_8 in K --> pi pi Decays|::|T. Hambye;G. O. Koehler;E. A. Paschos;P. H. Soldan;W. A. Bardeen|::|1998-02-11T14:04:15+00:00|::|http://arxiv.org/abs/hep-ph/9802300v2
287|::|9811472|::|The $ΔI=1/2$ Rule in the Chiral Limit|::|Johan Bijnens;Joaquim Prades|::|1998-11-25T16:21:23+00:00|::|http://arxiv.org/abs/hep-ph/9811472v2
288|::|9902334|::|New Analysis of the Delta I = 1/2 Rule in Kaon Decays and the B_K Parameter|::|T. Hambye;G. O. Koehler;P. H. Soldan|::|1999-02-12T16:53:41+00:00|::|http://arxiv.org/abs/hep-ph/9902334v1
289|::|9903230|::|A short look at epsilon'/epsilon|::|Y. -Y. Keum;U. Nierste;A. I. Sanda|::|1999-03-02T17:36:39+00:00|::|http://arxiv.org/abs/hep-ph/9903230v2
290|::|9904408|::|Standard Model Confronting New Results for epsilon'/epsilon|::|S. Bosch;A. J. Buras;M. Gorbahn;S. Jäger;M. Jamin;M. E. Lautenbacher;L. Silvestrini|::|1999-04-20T16:30:40+00:00|::|http://arxiv.org/abs/hep-ph/9904408v1
291|::|9906434|::|Analysis of ε'/εin the 1/N_c Expansion|::|T. Hambye;G. O. Koehler;E. A. Paschos;P. H. Soldan|::|1999-06-20T13:09:14+00:00|::|http://arxiv.org/abs/hep-ph/9906434v2
292|::|9906497|::|Delta m_d, Delta m_s/Delta m_d and epsilon_K in Quenched QCD|::|Laurent Lellouch|::|1999-06-25T10:18:09+00:00|::|http://arxiv.org/abs/hep-ph/9906497v3
293|::|9907335|::|Phenomenological analysis of epsilon'/epsilon within an effective chiral lagrangian approach at O(p^6)|::|A. A. Bel'kov;G. Bohm;A. V. Lanyov;A. A. Moshkin|::|1999-07-13T13:35:09+00:00|::|http://arxiv.org/abs/hep-ph/9907335v3
294|::|9908395|::|Theoretical Status of epsilon'/epsilon|::|Andrzej J. Buras|::|1999-08-18T09:36:49+00:00|::|http://arxiv.org/abs/hep-ph/9908395v1
295|::|9908442|::|Can epsilon'/epsilon be supersymmetric?|::|Hitoshi Murayama|::|1999-08-23T22:55:43+00:00|::|http://arxiv.org/abs/hep-ph/9908442v2
296|::|9909530|::|Penguin amplitudes: charming contributions|::|M. Ciuchini;E. Franco;G. Martinelli;L. Silvestrini|::|1999-09-28T13:07:15+00:00|::|http://arxiv.org/abs/hep-ph/9909530v1
297|::|9403249|::|Higher Order $1/m$ Corrections at Zero Recoil|::|Thomas Mannel|::|1994-03-09T10:08:16+00:00|::|http://arxiv.org/abs/hep-ph/9403249v1
298|::|9506477|::|Electroweak Baryogenesis in Supersymmetric Models|::|Patrick Huet;Ann E. Nelson|::|1995-07-02T00:46:46+00:00|::|http://arxiv.org/abs/hep-ph/9506477v3
299|::|9603261|::|Two-loop QCD corrections to $b\to c$ transitions at zero recoil|::|Andrzej Czarnecki|::|1996-03-10T20:10:38+00:00|::|http://arxiv.org/abs/hep-ph/9603261v1
300|::|9603414|::|Improved Bounds for the Slope and Curvature of $\bar B\to D^{(*)}\ell\barν$ Form Factors|::|Irinel Caprini;Matthias Neubert|::|1996-03-26T17:31:10+00:00|::|http://arxiv.org/abs/hep-ph/9603414v1
301|::|2041|::|Theoretical Summary Lecture for EPS HEP99|::|Michael E. Peskin|::|2000-02-03T17:15:01+00:00|::|http://arxiv.org/abs/hep-ph/0002041v2
302|::|3090|::|Constraining CP Violating Phases of the MSSM|::|I. Hinchliffe;N. Kersting|::|2000-03-09T22:44:10+00:00|::|http://arxiv.org/abs/hep-ph/0003090v1
303|::|3133|::|New Physics behind the Standard Model's door?|::|Antonio Masiero;Oscar Vives|::|2000-03-14T19:06:18+00:00|::|http://arxiv.org/abs/hep-ph/0003133v2
304|::|6068|::|On the Inclusive Determination of V_{ub} from the Lepton Invariant Mass Spectrum|::|Matthias Neubert|::|2000-06-07T21:46:23+00:00|::|http://arxiv.org/abs/hep-ph/0006068v1
305|::|6136|::|Phenomenology of non-standard Z couplings in exclusive semileptonic b -> s transitions|::|G. Buchalla;G. Hiller;G. Isidori|::|2000-06-13T13:30:40+00:00|::|http://arxiv.org/abs/hep-ph/0006136v2
306|::|8151|::|Extra dimensions at the one loop level: Z -> b,b(bar) and B-B(bar) mixing|::|Joannis Papavassiliou;Arcadi Santamaria|::|2000-08-15T12:38:13+00:00|::|http://arxiv.org/abs/hep-ph/0008151v1
307|::|8298|::|Constraints on $γ$ and Strong Phases from $B\toπK$ Decays|::|Andrzej J. Buras;Robert Fleischer|::|2000-08-29T08:21:55+00:00|::|http://arxiv.org/abs/hep-ph/0008298v1
308|::|11396|::|Highlights of CP 2000|::|John Ellis|::|2000-11-30T20:45:50+00:00|::|http://arxiv.org/abs/hep-ph/0011396v1
309|::|12197|::|Tree-level FCNC in the B system: from CP asymmetries to rare decays|::|G. Barenboim;F. J. Botella;O. Vives|::|2000-12-15T18:06:22+00:00|::|http://arxiv.org/abs/hep-ph/0012197v2
310|::|12289|::|Split Fermions in Extra Dimensions and CP Violation|::|G. C. Branco;Andre de Gouvea;M. N. Rebelo|::|2000-12-21T15:03:09+00:00|::|http://arxiv.org/abs/hep-ph/0012289v2
311|::|103324|::|General Flavor Blind MSSM and CP Violation|::|A. Bartl;T. Gajdosik;E. Lunghi;A. Masiero;W. Porod;H. Stremnitzer;O. Vives|::|2001-03-29T18:12:51+00:00|::|http://arxiv.org/abs/hep-ph/0103324v2
312|::|104027|::|New physics in CP violation experiments|::|A. Masiero;O. Vives|::|2001-04-03T10:42:44+00:00|::|http://arxiv.org/abs/hep-ph/0104027v1
313|::|104137|::|CP violation from noncommutative geometry|::|I. Hinchliffe;N. Kersting|::|2001-04-13T19:47:50+00:00|::|http://arxiv.org/abs/hep-ph/0104137v2
314|::|105084|::|Universal Extra Dimensions and b -> s gamma|::|K. Agashe;N. G. Deshpande;G. -H. Wu|::|2001-05-09T23:40:49+00:00|::|http://arxiv.org/abs/hep-ph/0105084v2
315|::|105177|::|Models for Geometric CP Violation with Extra Dimensions|::|Darwin Chang;Wai-Yee Keung;Rabindra N. Mohapatra|::|2001-05-17T14:55:50+00:00|::|http://arxiv.org/abs/hep-ph/0105177v2
316|::|105306|::|Constraining models with vector-like fermions from FCNC in K and B physics|::|G. Barenboim;F. J. Botella;O. Vives|::|2001-05-29T14:41:12+00:00|::|http://arxiv.org/abs/hep-ph/0105306v2
317|::|106050|::|Inclusive Rare B Decays|::|Tobias Hurth|::|2001-06-05T10:53:34+00:00|::|http://arxiv.org/abs/hep-ph/0106050v2
318|::|107002|::|A proof of factorization for B -> D pi|::|Christian W. Bauer;Dan Pirjol;Iain W. Stewart|::|2001-07-02T22:46:53+00:00|::|http://arxiv.org/abs/hep-ph/0107002v2
319|::|107074|::|Precision determination of |V_{ub}| from inclusive decays|::|Christian W. Bauer;Zoltan Ligeti;Michael Luke|::|2001-07-09T17:56:38+00:00|::|http://arxiv.org/abs/hep-ph/0107074v1
320|::|108195|::|The Standard Model in 2001|::|Jonathan L. Rosner|::|2001-08-23T15:48:08+00:00|::|http://arxiv.org/abs/hep-ph/0108195v6
321|::|110253|::|Lattice calculation of the zero-recoil form factor of anti-B --> D* lepton anti-neutrino: toward a model independent determination of |V(cb)||::|Shoji Hashimoto;Andreas S. Kronfeld;Paul B. Mackenzie;Sinead M. Ryan;James N. Simone|::|2001-10-18T14:39:45+00:00|::|http://arxiv.org/abs/hep-ph/0110253v1
322|::|110260|::|CKM Status and Prospects|::|Brian K. Heltsley|::|2001-10-18T17:29:57+00:00|::|http://arxiv.org/abs/hep-ph/0110260v1
323|::|111167|::|Recent Progress in Heavy Quark Physics|::|Mark B. Wise|::|2001-11-13T21:44:40+00:00|::|http://arxiv.org/abs/hep-ph/0111167v1
324|::|9312215|::|Standard Model CP-violation and Baryon asymmetry|::|M. B. Gavela;P. Hernández;J. Orloff;O. Pène|::|1993-12-02T21:29:29+00:00|::|http://arxiv.org/abs/hep-ph/9312215v1
325|::|9403341|::|Determining the Quark Mixing Matrix From CP-Violating Asymmetries|::|R. Aleksan;B. Kayser;D. London|::|1994-03-22T18:46:32+00:00|::|http://arxiv.org/abs/hep-ph/9403341v1
326|::|9407406|::|Determination of the CP Violating Phase $γ$ by a Sum Over Common Decay Modes to $B_s$ and $\bar{B}_s$|::|R. Aleksan;A. Le Yaouanc;L. Oliver;O. Pène;J. -C. Raynal|::|1994-07-31T18:40:37+00:00|::|http://arxiv.org/abs/hep-ph/9407406v1
327|::|9410253|::|CP Violation in the Decay $b\rightarrow sγ$ in the Two-Higgs Doublet Model|::|Lincoln Wolfenstein;Yue-Liang Wu|::|1994-10-10T13:21:50+00:00|::|http://arxiv.org/abs/hep-ph/9410253v1
328|::|9503486|::|Semileptonic Meson Decays in the Quark Model: An Update|::|Daryl Scora;Nathan Isgur|::|1995-03-31T22:54:46+00:00|::|http://arxiv.org/abs/hep-ph/9503486v1
329|::|9508250|::|Leptonic and Semileptonic Decays of Charm and Bottom Hadrons|::|Jeffrey D. Richman;Patricia R. Burchat|::|1995-08-07T17:17:53+00:00|::|http://arxiv.org/abs/hep-ph/9508250v1
330|::|9509268|::|Form Factors of Meson Decays in the Relativistic Constituent Quark Model|::|D. Melikhov|::|1995-09-11T12:53:54+00:00|::|http://arxiv.org/abs/hep-ph/9509268v1
331|::|9509329|::|Theoretical Review of B-Physics|::|Andrzej J. Buras|::|1995-09-19T08:38:07+00:00|::|http://arxiv.org/abs/hep-ph/9509329v2
332|::|9512225|::|$|V_{ub}|$ from exclusive $B$ and $D$ decays|::|Zoltan Ligeti;Mark B. Wise|::|1995-12-04T19:45:48+00:00|::|http://arxiv.org/abs/hep-ph/9512225v1
333|::|9604412|::|B Decays and CP Violation|::|Matthias Neubert|::|1996-04-26T13:55:12+00:00|::|http://arxiv.org/abs/hep-ph/9604412v1
334|::|9606354|::|Nonleptonic Decays and Lifetimes of b-quark and c-quark Hadrons|::|T. E. Browder;K. Honscheid;Daniele Pedrini|::|1996-06-18T01:39:07+00:00|::|http://arxiv.org/abs/hep-ph/9606354v2
335|::|9610208|::|Detecting New Physics from CP-violating phase measurements in B decays|::|Joao P. Silva;L. Wolfenstein|::|1996-10-01T13:50:07+00:00|::|http://arxiv.org/abs/hep-ph/9610208v1
336|::|9612433|::|Enhanced CP Violation with $B\to K D^0 (\overline D^0)$ Modes and Extraction of the CKM Angle gamma|::|David Atwood;Isard Dunietz;Amarjit Soni|::|1996-12-20T17:44:58+00:00|::|http://arxiv.org/abs/hep-ph/9612433v1
337|::|9705356|::|Removing Discrete Ambiguities in CP Asymmetry Measurements|::|Yuval Grossman;Helen R. Quinn|::|1997-05-19T20:06:00+00:00|::|http://arxiv.org/abs/hep-ph/9705356v1
338|::|9709382|::|Cascade Mixing and the CP-Violating Angle Beta|::|Boris Kayser|::|1997-09-17T19:03:44+00:00|::|http://arxiv.org/abs/hep-ph/9709382v1
339|::|9712417|::|Dispersive Bounds on the Shape of B -> D^(*) l nu Form Factors|::|I. Caprini;L. Lellouch;M. Neubert|::|1997-12-17T13:23:22+00:00|::|http://arxiv.org/abs/hep-ph/9712417v1
340|::|9804254|::|Resolving a Discrete Ambiguity in the CKM Angle $β$ through $B_{u,d} \to J/ψK^\ast$ and $B_s \to J/ψφ$ Decays|::|Amol Dighe;Isard Dunietz;Robert Fleischer|::|1998-04-08T07:49:15+00:00|::|http://arxiv.org/abs/hep-ph/9804254v1
341|::|9805422|::|Exclusive Semileptonic and Rare B-Meson Decays in QCD|::|Patricia Ball;V. M. Braun|::|1998-05-22T12:25:00+00:00|::|http://arxiv.org/abs/hep-ph/9805422v2
342|::|9807223|::|Form factors of exclusive $b\to u$ transitions|::|M. Beyer;D. Melikhov|::|1998-07-02T14:16:17+00:00|::|http://arxiv.org/abs/hep-ph/9807223v1
343|::|9811377|::|Duality-Violating 1/m_Q Effects in Heavy Quark Decay|::|Nathan Isgur|::|1998-11-17T22:52:31+00:00|::|http://arxiv.org/abs/hep-ph/9811377v1
344|::|9911321|::|CP Violation In and Beyond the Standard Model|::|Yosef Nir|::|1999-11-11T22:11:05+00:00|::|http://arxiv.org/abs/hep-ph/9911321v2
345|::|9707293|::|D^0-D^0(bar) mixing in the weak-gauged U(4)_L x U(4)_R Chiral Lagrangian Model|::|G. Amoros;F. J. Botella;S. Noguera;J. Portoles|::|1997-07-09T13:12:17+00:00|::|http://arxiv.org/abs/hep-ph/9707293v2
346|::|9209291|::|$D$-$\bar D$ Mixing in Heavy Quark Effective Field Theory|::|Howard Georgi|::|1992-09-29T22:30:03+00:00|::|http://arxiv.org/abs/hep-ph/9209291v1
347|::|9301212|::|D\bar{D}$ Mixing in Heavy Quark Effective Field Theory: The Sequel|::|Thorsten Ohl;Giulia Ricciardi;Elizabeth H. Simmons|::|1993-01-06T20:38:37+00:00|::|http://arxiv.org/abs/hep-ph/9301212v1
348|::|9304219|::|Parameter--free calculation of $D \rightarrow P P$ in a weak--gauged $U(4)_L \otimes U(4)_R$ Chiral Lagrangian Model|::|F. J. Botella;S. Noguera;J. Portolés|::|1993-04-06T11:21:00+00:00|::|http://arxiv.org/abs/hep-ph/9304219v1
349|::|9405274|::|Parameter free calculation of non-resonant three body decays of charmed mesons in a weak gauged U(4)_L x U(4)_R Chiral Lagrangian Model|::|F. J. Botella;S. Noguera;J. Portoles|::|1994-05-12T19:29:06+00:00|::|http://arxiv.org/abs/hep-ph/9405274v2
350|::|9505393|::|D-Meson Mixing in Broken SU(3)|::|Thomas A. Kaeding|::|1995-05-26T21:27:16+00:00|::|http://arxiv.org/abs/hep-ph/9505393v1
351|::|103230|::|Calculation of the K^0-\bar{K}^0 mixing parameter via the QCD sum rules at finite energies|::|K. G. Chetyrkin;A. L. Kataev;A. B. Krasulin;A. A. Pivovarov|::|2001-03-21T17:15:02+00:00|::|http://arxiv.org/abs/hep-ph/0103230v1
352|::|9206236|::|Nambu Jona-Lasinio Like Models and the Low Energy Effective Action of QCD|::|Johan Bijnens;Christophe Bruno;Eduardo de Rafael|::|1992-06-19T09:26:28+00:00|::|http://arxiv.org/abs/hep-ph/9206236v1
353|::|9302246|::|Massive Spin-1 Field Chiral Lagrangian from an Extended Nambu-Jona-Lasinio Model of QCD|::|Joaquim Prades|::|1993-02-11T09:55:38+00:00|::|http://arxiv.org/abs/hep-ph/9302246v1
354|::|9306323|::|Low--Energy Behavior of Two--Point Functions of Quark Currents|::|Johan Bijnens;Eduardo de Rafael;Hanqing Zheng|::|1993-06-28T15:01:11+00:00|::|http://arxiv.org/abs/hep-ph/9306323v1
355|::|9307263|::|Anatomy of a Weak Matrix Element|::|John F. Donoghue;Eugene Golowich|::|1993-07-13T15:37:14+00:00|::|http://arxiv.org/abs/hep-ph/9307263v1
356|::|9310355|::|Anomalies, VMD and the Enjl Model|::|Johan Bijnens;Joaquim Prades|::|1993-10-27T09:53:36+00:00|::|http://arxiv.org/abs/hep-ph/9310355v1
357|::|9401310|::|QCD Phenomenology based on a Chiral Effective Lagrangian|::|T. Hatsuda;T. Kunihiro|::|1994-01-23T02:49:05+00:00|::|http://arxiv.org/abs/hep-ph/9401310v1
358|::|9403233|::|Two- and Three-Point Functions in the Extended NJL Model|::|Johan Bijnens;Joaquim Prades|::|1994-03-07T12:10:31+00:00|::|http://arxiv.org/abs/hep-ph/9403233v2
359|::|9409255|::|$B_K$ and Explicit Chiral Symmetry Breaking|::|Johan Bijnens;Joaquim Prades|::|1994-09-08T10:16:15+00:00|::|http://arxiv.org/abs/hep-ph/9409255v2
360|::|9412243|::|Phenomenology from the Lattice|::|Stephen R. Sharpe|::|1994-12-06T05:29:13+00:00|::|http://arxiv.org/abs/hep-ph/9412243v1
